Image name,X1,Y1,X2,Y2,object name,X-centre,Y-centre,X-Image Dimentions,Y-Image Dimentions,has on the left,has on the right,has on the top,has on the bottom,has in the center,URLs
%28UAZ%29_DOK.001.001_15210.tif,2723,293,3337,949,horse,3030,621,3356,2140,na,horse,horse,na,na,https://upload.wikimedia.org/wikipedia/commons/2/2e/%28UAZ%29_DOK.001.001_15210.tif
%28UAZ%29_DOK.001.001_15210.tif,1020,1058,1204,1487,person,1112,1272.5,3356,2140,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/2/2e/%28UAZ%29_DOK.001.001_15210.tif
%28UAZ%29_DOK.001.001_15210.tif,1239,1180,1412,1529,person,1325.5,1354.5,3356,2140,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/2/2e/%28UAZ%29_DOK.001.001_15210.tif
%28UAZ%29_DOK.001.001_15210.tif,2796,1017,3010,1346,zebra,2903,1181.5,3356,2140,na,zebra,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/2e/%28UAZ%29_DOK.001.001_15210.tif
%28UAZ%29_DOK.001.001_15210.tif,2205,403,2577,972,giraffe,2391,687.5,3356,2140,na,giraffe,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/2e/%28UAZ%29_DOK.001.001_15210.tif
%C3%89l%C3%A9phant_du_Gabon.jpg,1585,940,2597,2086,elephant,2091,1513,3806,2156,na,na,na,elephant,na,https://upload.wikimedia.org/wikipedia/commons/0/0d/%C3%89l%C3%A9phant_du_Gabon.jpg
%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg,2313,2481,2914,3007,bird,2613.5,2744,3120,4160,na,bird,na,na,na,https://upload.wikimedia.org/wikipedia/commons/3/33/%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg
%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg,2299,1924,2912,2320,bird,2605.5,2122,3120,4160,na,bird,na,na,na,https://upload.wikimedia.org/wikipedia/commons/3/33/%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg
%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg,208,2931,1419,3919,sheep,813.5,3425,3120,4160,sheep,na,na,sheep,na,https://upload.wikimedia.org/wikipedia/commons/3/33/%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg
%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg,1496,2400,2291,3122,banana,1893.5,2761,3120,4160,na,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/3/33/%D8%B3%D9%86%DA%8C_%D8%AC%D9%8A_%D8%AC%DA%BE%D9%86%DA%AF%D9%84%D9%8A_%D8%AC%D9%8A%D9%88%D8%AA_%28%DA%AA%D8%AA%D8%A7%D8%A8_%D8%AC%D9%88_%D8%B3%D8%B1_%D9%88%D8%B1%D9%82%29.jpg
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,2027,584,2695,1325,person,2361,954.5,4752,3485,na,na,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,1912,954,3901,3132,elephant,2906.5,2043,4752,3485,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,29,1503,337,2120,person,183,1811.5,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,4376,1608,4712,2635,person,4544,2121.5,4752,3485,na,person,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,238,1737,477,2211,person,357.5,1974,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,1561,1432,1855,1924,person,1708,1678,4752,3485,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,590,1444,836,2002,person,713,1723,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,759,1085,4452,2937,person,2605.5,2011,4752,3485,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,395,1865,675,2578,person,535,2221.5,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,654,1916,924,2659,person,789,2287.5,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,367,1445,646,1931,person,506.5,1688,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,3971,1707,4197,2031,person,4084,1869,4752,3485,na,person,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,1392,1464,1665,1995,person,1528.5,1729.5,4752,3485,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,241,1750,501,2435,person,371,2092.5,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,1164,1605,1411,2074,person,1287.5,1839.5,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,850,1461,1075,2039,person,962.5,1750,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,26,1965,329,2547,person,177.5,2256,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,1717,1454,1944,1948,person,1830.5,1701,4752,3485,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,4193,1702,4458,2246,person,4325.5,1974,4752,3485,na,person,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,404,1513,658,2055,person,531,1784,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
